% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 84.05  319.177777       10046     31771      2991 futex
  5.23   19.849038       34701       572           epoll_wait
  2.76   10.470838        7779      1346       188 read
  2.64   10.034565        7712      1301        10 ioctl
  2.54    9.629771      145905        66           poll
  2.43    9.214329      400622        23           clock_nanosleep
  0.33    1.254870      418290         3         1 restart_syscall
  0.01    0.049681          72       690         1 write
  0.00    0.009860          11       895       495 openat
  0.00    0.008914          11       790           mmap
  0.00    0.006609         200        33           execve
  0.00    0.006170          34       177           writev
  0.00    0.005978          10       559           close
  0.00    0.005199          10       500           gettid
  0.00    0.004798         299        16           clone3
  0.00    0.004043          10       397           epoll_ctl
  0.00    0.003530           8       407       308 newfstatat
  0.00    0.002612          24       106        11 recvfrom
  0.00    0.002535           9       268           fstat
  0.00    0.002390           9       259           fcntl
  0.00    0.002247          10       219           mprotect
  0.00    0.001272          10       120           getdents64
  0.00    0.001131          34        33        11 wait4
  0.00    0.001066          10        99           prlimit64
  0.00    0.001009          19        53           munmap
  0.00    0.000977           8       109           rt_sigaction
  0.00    0.000964          87        11           clone
  0.00    0.000930          34        27           connect
  0.00    0.000921          10        84           rt_sigprocmask
  0.00    0.000886           8        99           brk
  0.00    0.000590           8        66           pread64
  0.00    0.000488           7        66        44 prctl
  0.00    0.000480           8        54           setsockopt
  0.00    0.000469          10        44           dup2
  0.00    0.000465           8        55        55 readlink
  0.00    0.000461          10        46           pselect6
  0.00    0.000452           9        49           set_robust_list
  0.00    0.000431          15        27           shutdown
  0.00    0.000418           9        44           lseek
  0.00    0.000356          13        27           accept
  0.00    0.000328           9        33        33 access
  0.00    0.000323          11        27           socket
  0.00    0.000320           8        38           rseq
  0.00    0.000294           9        32           geteuid
  0.00    0.000283          10        27           bind
  0.00    0.000282           8        33           getrandom
  0.00    0.000276           8        33           arch_prctl
  0.00    0.000263           7        33           set_tid_address
  0.00    0.000228          10        22           rt_sigreturn
  0.00    0.000223          10        22           statx
  0.00    0.000205          15        13           sendto
  0.00    0.000188          17        11           pidfd_open
  0.00    0.000164          14        11           setpgid
  0.00    0.000150          13        11           pipe2
  0.00    0.000112          10        11           epoll_create1
  0.00    0.000105           9        11           eventfd2
  0.00    0.000100           9        11           getppid
  0.00    0.000095           8        11           getuid
  0.00    0.000094           8        11           getgid
  0.00    0.000093           8        11           getpid
  0.00    0.000092           8        11           getegid
  0.00    0.000064          12         5           madvise
  0.00    0.000062          61         1           timerfd_settime
------ ----------- ----------- --------- --------- ----------------
100.00  379.763868        9054     41940      4148 total
