% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 84.08  316.640483        2660    119013     11696 futex
  5.26   19.792373       11865      1668           epoll_wait
  2.80   10.539546        3134      3362       639 read
  2.72   10.236808        2328      4397        10 ioctl
  2.52    9.496740       31035       306           poll
  2.41    9.068614      566788        16           clock_nanosleep
  0.15    0.567339      189112         3           restart_syscall
  0.04    0.142447          71      1996         6 write
  0.00    0.017791          28       614           writev
  0.00    0.012141          10      1139           gettid
  0.00    0.009802          11       831       450 openat
  0.00    0.009107          12       720           mmap
  0.00    0.008691          26       323        10 recvfrom
  0.00    0.008553          10       816           epoll_ctl
  0.00    0.006054          11       526           close
  0.00    0.005858         195        30           execve
  0.00    0.004517         301        15           clone3
  0.00    0.003811          10       370       280 newfstatat
  0.00    0.002585          10       250           fstat
  0.00    0.002534          10       240           fcntl
  0.00    0.002460          12       201           mprotect
  0.00    0.001349          11       120           getdents64
  0.00    0.001178          11       100           rt_sigaction
  0.00    0.001171          14        80           rt_sigprocmask
  0.00    0.001036          20        50           munmap
  0.00    0.001027          11        90           brk
  0.00    0.000978          32        30        10 wait4
  0.00    0.000947          94        10           clone
  0.00    0.000936          10        90           prlimit64
  0.00    0.000910          36        25           connect
  0.00    0.000880          10        84           pselect6
  0.00    0.000624          10        60           pread64
  0.00    0.000545          10        50           setsockopt
  0.00    0.000544          90         6           madvise
  0.00    0.000516           8        60        40 prctl
  0.00    0.000514          11        45           set_robust_list
  0.00    0.000495          12        40           dup2
  0.00    0.000490           9        50        50 readlink
  0.00    0.000446          17        25           shutdown
  0.00    0.000396          15        25           accept
  0.00    0.000390           9        40           lseek
  0.00    0.000379          10        35           rseq
  0.00    0.000352          14        25           socket
  0.00    0.000348          11        30        30 access
  0.00    0.000340          11        30           geteuid
  0.00    0.000334          11        30           getrandom
  0.00    0.000331          11        30           arch_prctl
  0.00    0.000322          10        30           set_tid_address
  0.00    0.000301          12        25           bind
  0.00    0.000235          11        20           rt_sigreturn
  0.00    0.000201          10        20           statx
  0.00    0.000185          15        12           sendto
  0.00    0.000178          17        10           pipe2
  0.00    0.000150          15        10           pidfd_open
  0.00    0.000143          14        10           getuid
  0.00    0.000135          13        10           setpgid
  0.00    0.000132          13        10           getgid
  0.00    0.000132          13        10           getpid
  0.00    0.000124          12        10           getppid
  0.00    0.000110          11        10           epoll_create1
  0.00    0.000109          10        10           getegid
  0.00    0.000104          10        10           eventfd2
  0.00    0.000067          66         1           timerfd_settime
------ ----------- ----------- --------- --------- ----------------
100.00  376.598335        2722    138304     13221 total
